name,price,original_price,rating,reviews_count,description,attributes,quantity,image_url,product_url,sku,brand,category,in_stock,unit,source
TRAPSTAR DECODED PUFFER JACKET - BLACK / ORANGE,£692.00,£1077.00,,,Trapstar Jackets fit true to size. Size Guide shown in final image.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/1_9b90ae05-13ac-4093-8941-dab2e6aea05f.png?v=1760471171,https://hypelockeruk.com/products/trapstar-decoded-puffer-jacket-black-orange,,Trapstar,Jackets,In Stock,,hypelockeruk.com
TRAPSTAR HYPERDRIVE DETACHABLE HOODED PUFFER JACKET - ICE BLUE,£961.00,£1461.00,,,"- Detachable Zip-On/Off Hood. - Quilted Outerwear Jacket Slim Fit - Silicone Hyperdrive patch on left chest - Embroidered Hyperdrive logo on back - We do recommend sizing up for a more relaxed fit, please view Size Guide in final image.",,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/22_073b923a-4cf3-490e-9a51-a304136adfda.png?v=1729699759,https://hypelockeruk.com/products/trapstar-hyperdrive-detachable-hooded-puffer-jacket-ice-blue,,Trapstar,Jackets,In Stock,,hypelockeruk.com
TRAPSTAR HYPERDRIVE RIPSTOP PUFFER JACKET - BLACK / BLUE,£692.00,£961.00,,,Raised Hyperdrive embroidery T logo on left chest Raised Hyperdrive embroidery logo on back Zipper closure on front with branded puller Zipper pockets on front with bungee puller Internal pocket with zip closure 100% Polyester Dry clean Official Certilogo authentication label Trapstar Jackets fit true to size. Size Guide shown in final image.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/Untitleddesign-2024-12-31T115806.273.png?v=1735646331,https://hypelockeruk.com/products/trapstar-hyperdrive-ripstop-puffer-jacket-black-blue,,Trapstar,Jackets,In Stock,,hypelockeruk.com
TRAPSTAR HYPERDRIVE RIPSTOP PUFFER JACKET - BLACKOUT,£692.00,£961.00,,,Raised Hyperdrive embroidery T logo on left chest Raised Hyperdrive embroidery logo on back Zipper closure on front with branded puller Zipper pockets on front with bungee puller Internal pocket with zip closure 100% Polyester Dry clean Official Certilogo authentication label Trapstar Jackets fit true to size. Size Guide shown in final image.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/Untitleddesign-2025-01-11T121753.688.png?v=1736597896,https://hypelockeruk.com/products/trapstar-hyperdrive-ripstop-puffer-jacket-blackout,,Trapstar,Jackets,Out of Stock,,hypelockeruk.com
TRAPSTAR HYPERDRIVE RIPSTOP PUFFER JACKET - BLUE / ORANGE,£692.00,£961.00,,,Raised Hyperdrive embroidery T logo on left chest Raised Hyperdrive embroidery logo on back Zipper closure on front with branded puller Zipper pockets on front with bungee puller Internal pocket with zip closure 100% Polyester Dry clean Official Certilogo authentication label Trapstar Jackets fit true to size. Size Guide shown in final image.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/Untitled_design_-_2025-01-11T122155.645.png?v=1736598261,https://hypelockeruk.com/products/trapstar-hyperdrive-ripstop-puffer-jacket-blue-orange,,Trapstar,Jackets,In Stock,,hypelockeruk.com
TRAPSTAR HYPERDRIVE TECHNICAL PUFFER JACKET - BLACK / REFLECTIVE,£1538.00,,,,"- 100% Polyester with DWR coating - Padded front placket with 3D Print - Tonal 3d rubber branding on reverse - Bungee cord system on hood - PU coated reverse coil zips - Arm seam brought to front with concealed pocket - Official Certilogo Authentication label We recommend going one size up from your normal size, for a more relaxed fit. Please view Size Guide in final image.",,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/13_f096b484-5794-4b87-8c94-4f48dbdff411.png?v=1729699838,https://hypelockeruk.com/products/trapstar-hyperdrive-technical-puffer-jacket-black-reflective,,Trapstar,Jackets,Out of Stock,,hypelockeruk.com
TRAPSTAR HYPERDRIVE TECHNICAL PUFFER JACKET - LIGHT GREY,£1538.00,,,,"We recommend going one size up from your normal size, for a more relaxed fit. Please view Size Guide in final image.",,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/29_475e24de-e10b-4fbb-9977-19f9a212d63c.png?v=1729699811,https://hypelockeruk.com/products/trapstar-hyperdrive-technical-puffer-jacket-light-grey,,Trapstar,Jackets,Out of Stock,,hypelockeruk.com
TRAPSTAR IRONGATE ARCH HOODED PUFFER JACKET - LIGHT BLUE,£769.00,£1077.00,,,"Stay ahead of the style game with the Trapstar Irongate Hooded Puffer Jacket in Light Blue. Elevate your winter wardrobe with this bold, streetwear-inspired essential. This jacket fits true to size. Size Guide shown in final image.",,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/Untitleddesign-2024-12-30T214842.169.png?v=1735595456,https://hypelockeruk.com/products/trapstar-irongate-arch-hooded-puffer-jacket-light-blue,,Trapstar,Jackets,In Stock,,hypelockeruk.com
TRAPSTAR IRONGATE ARCH PIPING PUFFER JACKET - BLACK / ORANGE,£692.00,£1154.00,,,Zip closure with branded Irongate webbing puller Irongate T applique on left chest Irongate arch applique on back Contrast arched piping detail on sleeves and body Pockets with zip closure Internal zipped pocket Sleeves with internal ribbed cuff Bungee cord adjustable hem and hood Official Certilogo authentication label Outer 100% polyamide Lining 100% polyamide Insulation 100% polyester Delicate machine wash 30°C This jacket fits true to size. Size Guide shown in final image (all measurements,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/Untitled_design_-_2025-10-14T201512.072.png?v=1760469440,https://hypelockeruk.com/products/trapstar-irongate-arch-piping-puffer-jacket-black-orange,,Trapstar,Jackets,Out of Stock,,hypelockeruk.com
TRAPSTAR IRONGATE ARCH PUFFER JACKET AW23 - BLUE / BLACK,£1038.00,,,,"Stay ahead of the style game with the Trapstar Irongate Arch Puffer Jacket AW23 in Black. Elevate your winter wardrobe with this bold, streetwear-inspired essential. This jacket fits true to size. - 100% Polyester - Fabric contrast panel on sleeve &amp; back - Zipper closure on front - Irongate t rubber badge on front - Bevelled rubber badge on left sleeve - 3D irongate arch embroidery on back Size Guide shown in final image.",,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/6_710bf776-8d1c-4947-848e-6e6f349d034e.png?v=1729699864,https://hypelockeruk.com/products/trapstar-irongate-arch-puffer-jacket-aw23-blue-black,,Trapstar,Jackets,Out of Stock,,hypelockeruk.com
TRAPSTAR IRONGATE ARCH PUFFER JACKET AW23 - YELLOW / BLACK,£961.00,£1269.00,,,"Stay ahead of the style game with the Trapstar Irongate Arch Puffer Jacket AW23 in vibrant yellow and black. Elevate your winter wardrobe with this bold, streetwear-inspired essential. This jacket fits true to size. Size Guide shown in final image.",,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/3_58cdc826-45a5-4841-b39c-cf73fea03fda.png?v=1729699844,https://hypelockeruk.com/products/trapstar-irongate-arch-puffer-jacket-aw23-yellow-black,,Trapstar,Jackets,In Stock,,hypelockeruk.com
TRAPSTAR IRONGATE ARCH PUFFER JACKET AW25 - BLACK,£769.00,£1077.00,,,Zip closure with branded Irongate puller Removable hood Irongate T silicone badge on left chest Irongate T silicone badge on right sleeve Embroidered Irongate arch on upper back Side insert welt pockets with zip closure 100% polyester Regular fit 30-degree wash with similar colours Official Certilogo authentication label This jacket fits true to size.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/15_4c37c3ea-70e4-4695-81fc-281d111c0b3d.png?v=1765896248,https://hypelockeruk.com/products/trapstar-irongate-arch-puffer-jacket-aw25-black,,Trapstar,Jackets,Out of Stock,,hypelockeruk.com
TRAPSTAR IRONGATE ARCH REVERSIBLE PUFFER JACKET AW25 - BLACK / LIGHT BLUE,£961.00,£1154.00,,,Reversible puffer Zip closure with branded Irongate puller Removable hood Irongate T silicone badge on left chest Irongate T silicone badge on right sleeve Embroidered Irongate arch on upper back Side insert welt pockets with zipper closure 100% polyester Regular fit 30° wash with similar colours Official Certilogo authentication label This jacket fits true to size.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/1_7b287a73-1310-43b2-8427-0bf073817e26.png?v=1764509513,https://hypelockeruk.com/products/trapstar-irongate-arch-reversible-puffer-jacket-aw25-black-light-blue,,Trapstar,Jackets,In Stock,,hypelockeruk.com
TRAPSTAR IRONGATE ARCH WINDBREAKER JACKET - BLACK,£846.00,,,,Trapstar Jackets fit true to size.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/11_dfafde3d-993f-4760-b58d-0f075c67e881.png?v=1729699882,https://hypelockeruk.com/products/trapstar-irongate-arch-windbreaker-jacket-black,,Trapstar,Jackets,Out of Stock,,hypelockeruk.com
TRAPSTAR IRONGATE DETACHABLE HOODED PUFFER JACKET - BLACK,£1154.00,£2115.00,,,The OG Black Irongate returns for 2025. Trapstar Jackets fit true to size. Size Guide shown in final image.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/Untitled_design_-_2025-01-02T160333.400.png?v=1735833946,https://hypelockeruk.com/products/trapstar-irongate-detachable-hooded-puffer-jacket-black,,Trapstar,Jackets,Out of Stock,,hypelockeruk.com
TRAPSTAR IRONGATE DETACHABLE HOODED PUFFER JACKET - BROWN,£1058.00,£1346.00,,,Trapstar Jackets fit true to size. Size Guide shown in final image.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/30_5ba1a860-c48b-4f3a-8d2e-1e304801d659.png?v=1729699740,https://hypelockeruk.com/products/trapstar-irongate-detachable-hooded-puffer-jacket-brown,,Trapstar,Jackets,In Stock,,hypelockeruk.com
TRAPSTAR IRONGATE HOODED PUFFER JACKET - BLACK,£1154.00,,,,"Stay ahead of the style game with the Trapstar Irongate Hooded Puffer Jacket in Black. Elevate your winter wardrobe with this bold, streetwear-inspired essential. This jacket fits true to size. Size Guide shown in final image.",,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/Untitled_design_71.png?v=1732032807,https://hypelockeruk.com/products/trapstar-irongate-hooded-puffer-jacket-black,,Trapstar,Jackets,Out of Stock,,hypelockeruk.com
TRAPSTAR IRONGATE METAL BADGE WINDBREAKER JACKET - BLACK,£577.00,£961.00,,,Trapstar Jackets fit true to size.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/1_ceb202d1-33fb-4928-a955-7b4fc0fd305c.png?v=1763930905,https://hypelockeruk.com/products/trapstar-irongate-metal-badge-windbreaker-jacket-black,,Trapstar,Jackets,In Stock,,hypelockeruk.com
TRAPSTAR IRONGATE METAL BADGE WINDBREAKER JACKET - BLUE,£577.00,£961.00,,,Trapstar Jackets fit true to size.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/1_ba6b6739-05da-4478-a280-e034aab7a466.png?v=1763929284,https://hypelockeruk.com/products/trapstar-irongate-metal-badge-windbreaker-jacket-blue,,Trapstar,Jackets,Out of Stock,,hypelockeruk.com
TRAPSTAR IRONGATE WINDBREAKER JACKET - FLYING BIRDS,£923.00,£1038.00,,,The Irongate Zip Windbreaker is now available in the highly-anticipated 'Flying Birds' colourway. Trapstar Jackets fit true to size.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/Untitled_design_-_2025-08-27T174031.404.png?v=1756312855,https://hypelockeruk.com/products/trapstar-irongate-zip-windbreaker-windbreaker,,Trapstar,Jackets,In Stock,,hypelockeruk.com
TRAPSTAR T JACQUARD PUFFER JACKET - BLACK,£1077.00,£1346.00,,,"- Quilted Outerwear Jacket. - Irongate T Jacquard allover print - Metal Irongate T Zip-Puller. - Irongate T Enamel Patch on shoulder - We do recommend sizing up for a more relaxed fit, please view Size Guide on the final image for further details",,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/38_a82ec629-75c1-40a6-b4cd-2ed0a44f37d8.png?v=1729699784,https://hypelockeruk.com/products/trapstar-t-jacquard-puffer-jacket-black,,Trapstar,Jackets,Out of Stock,,hypelockeruk.com
TRAPSTAR T JACQUARD PUFFER JACKET - DAZZLING BLUE,£1269.00,,,,"- Quilted Outerwear Jacket. - Irongate T Jacquard allover print - Metal Irongate T Zip-Puller. - Irongate T Enamel Patch on shoulder - We do recommend sizing up for a more relaxed fit, please view Size Guide on the final image for further details",,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/39_34149501-3416-4052-9b16-3d48910b408d.png?v=1729699788,https://hypelockeruk.com/products/copy-of-trapstar-t-jacquard-puffer-jacket-black,,Trapstar,Jackets,Out of Stock,,hypelockeruk.com
TRAPSTAR WOMEN’S ARCH AW23 HOODED PUFFER JACKET - BLACK,£1154.00,,,,The Women’s Arch AW23 Puffer Jacket has a cropped fit. Detachable hood.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/12_ba713aa7-dbfe-4c86-9963-7961ad5c56ed.png?v=1729699868,https://hypelockeruk.com/products/trapstar-women-s-arch-aw23-hooded-puffer-jacket-black,,Trapstar,Jackets,Out of Stock,,hypelockeruk.com
TRAPSTAR WOMEN’S ARCH AW23 HOODED PUFFER JACKET - GLOSS BLACK,£961.00,£1154.00,,,- Decoded logo embroidery on back - Trapstar Irongate embroidery across hood - Branded metal zip puller - Adjustable waist bungee cord - Official Certilogo authentification label The Women’s Arch AW23 Puffer Jacket has a cropped fit. Detachable hood.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/50_4746fdfd-bc4e-4e1a-865e-b8779a8fe43f.png?v=1729699877,https://hypelockeruk.com/products/trapstar-women-s-arch-aw23-hooded-puffer-jacket-gloss-black,,Trapstar,Jackets,Out of Stock,,hypelockeruk.com
TRAPSTAR WOMEN’S CROPPED T JACQUARD PUFFER JACKET - BLACK,£961.00,£1269.00,,,Purchase the Women's Cropped Trapstar T Jacquard Puffer Jacket in the 'Black' colourway today. Trapstar Jackets fit true to size. The Women’s Irongate Puffer Jacket has a cropped fit. Size Guide shown in final image.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/40_8118c476-7095-4120-97d6-416f74b63f33.png?v=1729699790,https://hypelockeruk.com/products/trapstar-women-s-cropped-t-jacquard-puffer-jacket-black,,Trapstar,Jackets,In Stock,,hypelockeruk.com
TRAPSTAR WOMEN’S DECODED 2022 HOODED PUFFER JACKET - ICE BLUE,£1154.00,£1346.00,,,Purchase the Trapstar Women's Cropped 2022 Puffer Jacket in the 'Ice Blue' colourway today. Trapstar Jackets fit true to size. The Women’s Decoded 2022 Puffer Jacket has a cropped fit. Size Guide shown in final image.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/41_1cb78e06-72e2-43c3-b04d-1a3b20b6a10c.png?v=1729699834,https://hypelockeruk.com/products/trapstar-women-s-decoded-2022-hooded-puffer-jacket-ice-blue,,Trapstar,Jackets,In Stock,,hypelockeruk.com
TRAPSTAR WOMEN’S HYPERDRIVE PUFFER JACKET - ICE BLUE,£1154.00,,,,Trapstar Jackets fit true to size. The Women’s Hyperdrive Puffer Jacket has a cropped fit. Size Guide shown in final image.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/42_9f9e504f-b520-4518-829d-ed92ce081289.png?v=1729699752,https://hypelockeruk.com/products/trapstar-women-s-hyperdrive-puffer-jacket-ice-blue,,Trapstar,Jackets,Out of Stock,,hypelockeruk.com
TRAPSTAR WOMEN’S HYPERDRIVE PUFFER JACKET - OLIVE,£1154.00,,,,Trapstar Jackets fit true to size. The Women’s Hyperdrive Puffer Jacket has a cropped fit. Size Guide shown in final image.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/43_00313076-1a54-4043-8a73-f758b0ce0ca5.png?v=1729699814,https://hypelockeruk.com/products/trapstar-women-s-hyperdrive-puffer-jacket-olive,,Trapstar,Jackets,Out of Stock,,hypelockeruk.com
TRAPSTAR WOMEN’S IRONGATE DETACHABLE HOODED PUFFER JACKET - BLACK,£1538.00,,,,Purchase the Women's Cropped Trapstar Irongate Puffer Jacket in the 'Black' colourway today. Trapstar Jackets fit true to size. The Women’s Irongate Puffer Jacket has a cropped fit. Size Guide shown in final image.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/49_2da554b2-08c2-4069-b204-aca73f56a6da.png?v=1729699829,https://hypelockeruk.com/products/trapstar-women-s-irongate-detachable-hooded-puffer-jacket-black,,Trapstar,Jackets,Out of Stock,,hypelockeruk.com
TRAPSTAR WOMEN’S IRONGATE DETACHABLE HOODED PUFFER JACKET - BROWN,£1269.00,£1538.00,,,Purchase the Women's Cropped Trapstar Irongate Puffer Jacket in the 'Brown' colourway today. Trapstar Jackets fit true to size. The Women’s Irongate Puffer Jacket has a cropped fit. Size Guide shown in final image.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/44_4330baa3-96a5-4ad5-b24c-682406e82131.png?v=1729699781,https://hypelockeruk.com/products/trapstar-women-s-irongate-detachable-hooded-puffer-jacket-brown,,Trapstar,Jackets,Out of Stock,,hypelockeruk.com
TRAPSTAR WOMEN’S IRONGATE DETACHABLE HOODED PUFFER JACKET - OLIVE,£1538.00,,,,Purchase the Women's Cropped Trapstar Irongate Puffer Jacket in the 'Olive' colourway today. Trapstar Jackets fit true to size. The Women’s Irongate Puffer Jacket has a cropped fit. Size Guide shown in final image.,,,https://cdn.shopify.com/s/files/1/0533/7612/3068/files/46_d4ab6b1b-faa1-43ff-9f7d-08f1c92b6f2d.png?v=1729699772,https://hypelockeruk.com/products/trapstar-women-s-irongate-detachable-hooded-puffer-jacket-olive,,Trapstar,Jackets,Out of Stock,,hypelockeruk.com
